,age,attrition,business_travel,distance_from_home,education,education_field,environment_satisfaction,gender,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income_$,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,worklife_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,remote_work
0,51,no,non-travel,6,3,,1,M,3,5, research director ,3,,19537.0,7,No,13,3.0,3,full-time,0,,3.0,20,15,15,yes
1,52,no,non-travel,1,4,life sciences,3,M,2,5, manager ,3,,19999.0,0,,14,3.0,1,full-time,1,34.0,3.0,33,11,9,yes
2,42,no,travel_rarely,4,2,technical degree,3,M,3,5, manager ,4,married,19232.0,1,No,11,3.0,4,full-time,0,22.0,,22,11,15,yes
3,47,no,travel_rarely,2,4,medical,1,F,3,4, research director ,3,married,17169.0,3,,19,3.0,2,full-time,2,,,20,5,6,no
4,46,no,non-travel,3,3,technical degree,1,F,4,4, sales executive ,1,divorced,,2,No,12,3.0,4,full-time,1,,3.0,19,2,8,no
5,48,no,non-travel,22,3,medical,4,F,3,4, manager ,4,,17174.0,3,No,11,3.0,2,full-time,1,,3.0,22,4,7,yes
6,59,no,non-travel,25,3,life sciences,1,F,3,3, sales executive ,1,,,7,,11,3.0,4,full-time,0,28.0,2.0,21,7,9,yes
7,42,no,travel_rarely,1,1,,2,M,3,2, sales executive ,3,married,,1,No,25,4.0,3,full-time,0,20.0,3.0,20,11,6,no
8,41,no,non-travel,2,5,,2,F,3,4, manager ,1,married,16595.0,7,No,16,3.0,2,full-time,1,22.0,3.0,18,11,8,yes
9,41,no,travel_frequently,9,3,,1,M,3,5, research director ,3,,,2,No,17,3.0,2,full-time,1,21.0,4.0,18,0,11,no
10,41,no,non-travel,7,1,,2,F,1,5, research director ,3,,19973.0,1,No,22,4.0,2,full-time,2,,3.0,21,5,10,no
11,56,no,travel_rarely,23,3,life sciences,4,M,3,4, manufacturing director ,2,married,13402.0,4,Yes,12,,1,full-time,1,33.0,3.0,19,15,9,no
12,38,no,non-travel,10,3,medical,2,F,1,3, research director ,3,married,13206.0,3,No,12,3.0,1,full-time,1,,3.0,18,1,11,yes
13,41,yes,travel_rarely,12,3,,2,F,3,5, research director ,3,married,19545.0,1,No,12,3.0,4,full-time,0,,3.0,22,15,8,no
14,55,no,non-travel,14,4,medical,3,M,4,5, research director ,2,single,,8,No,11,3.0,4,full-time,0,,3.0,24,2,15,yes
15,40,no,travel_rarely,2,4,,3,F,3,5, manager ,3,,18041.0,0,No,14,3.0,4,full-time,0,,3.0,20,1,12,no
16,58,yes,travel_rarely,2,4,,4,M,3,5, research director ,2,single,19246.0,7,Yes,12,3.0,4,full-time,0,40.0,3.0,31,13,8,no
17,46,no,travel_rarely,2,3,,3,F,3,4, manager ,1,,,8,,23,4.0,1,full-time,0,28.0,3.0,26,15,9,no
18,35,no,non-travel,13,5,life sciences,2,M,4,2, research scientist ,1,married,,1,,11,3.0,4,full-time,0,,3.0,16,1,10,no
19,40,no,travel_rarely,15,3,life sciences,1,F,2,3, manufacturing director ,3,,,1,,13,3.0,4,full-time,2,18.0,,18,14,12,yes
20,45,no,non-travel,1,1,,3,M,2,3, healthcare representative ,3,,10748.0,3,,23,4.0,4,full-time,1,25.0,2.0,23,14,4,no
21,33,no,non-travel,1,2,life sciences,1,F,3,3, research director ,4,single,,1,Yes,12,3.0,3,full-time,0,15.0,3.0,15,8,12,yes
22,36,no,non-travel,8,3,,3,F,3,3, healthcare representative ,3,divorced,,1,,13,,2,full-time,3,17.0,3.0,17,12,8,yes
23,47,no,non-travel,2,2,other,3,F,3,4, manager ,4,married,16752.0,1,,11,3.0,3,part-time,1,,2.0,26,3,0,no
24,36,no,travel_rarely,42,2,life sciences,42,M,3,2, sales executive ,4,,6201.0,1,,14,3.0,4,full-time,1,18.0,,18,4,11,yes
25,35,no,non-travel,9,3,life sciences,4,F,2,3, manufacturing director ,3,married,,1,Yes,20,4.0,2,part-time,1,17.0,3.0,17,5,15,no
26,52,yes,non-travel,2,1,,1,F,1,5, manager ,4,married,19845.0,1,No,15,3.0,4,full-time,1,33.0,3.0,32,6,9,yes
27,36,no,non-travel,2,4,life sciences,3,F,3,2, manufacturing director ,2,single,,9,Yes,11,3.0,4,full-time,0,18.0,3.0,16,5,12,no
28,33,no,travel_rarely,28,4,life sciences,2,M,3,2, laboratory technician ,3,married,,1,,12,3.0,2,full-time,1,15.0,3.0,15,5,7,yes
29,34,no,non-travel,10,3,life sciences,4,M,3,2, sales executive ,3,,4001.0,1,Yes,14,3.0,3,full-time,1,15.0,3.0,15,0,7,yes
30,41,no,non-travel,37,1,,37,F,3,3, sales executive ,3,divorced,10447.0,0,,13,3.0,4,full-time,1,,4.0,22,13,5,yes
31,47,no,non-travel,25,3,medical,1,M,3,3, healthcare representative ,3,,,2,,23,4.0,2,full-time,0,25.0,3.0,17,12,11,yes
32,53,no,travel_rarely,5,3,,3,F,3,5, manager ,3,,,4,,11,3.0,4,full-time,1,26.0,2.0,14,4,8,yes
33,35,no,non-travel,1,4,marketing,3,M,2,2, sales executive ,1,single,,0,No,14,,2,part-time,0,16.0,3.0,15,2,8,no
34,34,no,travel_rarely,6,4,other,1,F,3,2, research scientist ,3,single,,1,,14,3.0,3,full-time,0,16.0,3.0,16,2,10,yes
