age,attrition,business_travel,distance_from_home,education,education_field,environment_satisfaction,gender,job_involvement,job_level,job_role,job_satisfaction,marital_status,num_companies_worked,over_time,percent_salary_hike,relationship_satisfaction,standard_hours,stock_option_level,worklife_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,remote_work,monthly_income_$,total_working_years
51,no,non-travel,6,3,unknown,1,M,3,5, research director ,3,unknown,7,No,13,3,full-time,0,3,20,15,15,yes,19537,32
52,no,non-travel,1,4,life sciences,3,M,2,5, manager ,3,unknown,0,unknown,14,1,full-time,1,3,33,11,9,yes,19999,34
42,no,travel_rarely,4,2,technical degree,3,M,3,5, manager ,4,married,1,No,11,4,full-time,0,3,22,11,15,yes,19232,22
47,no,travel_rarely,2,4,medical,1,F,3,4, research director ,3,married,3,unknown,19,2,full-time,2,3,20,5,6,no,17169,28
46,no,non-travel,3,3,technical degree,1,F,4,4, sales executive ,1,divorced,2,No,12,4,full-time,1,3,19,2,8,no,6399,11
48,no,non-travel,22,3,medical,4,F,3,4, manager ,4,unknown,3,No,11,2,full-time,1,3,22,4,7,yes,17174,28
59,no,non-travel,25,3,life sciences,1,F,3,3, sales executive ,1,unknown,7,unknown,11,4,full-time,0,2,21,7,9,yes,14705,28
42,no,travel_rarely,1,1,unknown,2,M,3,2, sales executive ,3,married,1,No,25,3,full-time,0,3,20,11,6,no,10673,20
41,no,non-travel,2,5,unknown,2,F,3,4, manager ,1,married,7,No,16,2,full-time,1,3,18,11,8,yes,16595,22
41,no,travel_frequently,9,3,unknown,1,M,3,5, research director ,3,unknown,2,No,17,2,full-time,1,4,18,0,11,no,11177,21
41,no,non-travel,7,1,unknown,2,F,1,5, research director ,3,unknown,1,No,22,2,full-time,2,3,21,5,10,no,19973,33
56,no,travel_rarely,23,3,life sciences,4,M,3,4, manufacturing director ,2,married,4,Yes,12,1,full-time,1,3,19,15,9,no,13402,33
38,no,non-travel,10,3,medical,2,F,1,3, research director ,3,married,3,No,12,1,full-time,1,3,18,1,11,yes,13206,22
